     species,alcohol,malic_acid,ash,alcalinity ash,magnesium
Sauvignon,14.23,1.71,2.43,15.6,127
Sauvignon,13.2,1.78,2.14,11.2,100
Sauvignon,13.16,2.36,2.67,18.6,101
Sauvignon,14.37,1.95,2.5,16.8,113
Sauvignon,13.24,2.59,2.87,21,118
Sauvignon,14.2,1.76,2.45,15.2,112
Sauvignon,14.39,1.87,2.45,14.6,96
Sauvignon,14.06,2.15,2.61,17.6,121
Sauvignon,14.83,1.64,2.17,14,97
Sauvignon,13.86,1.35,2.27,16,98
Sauvignon,14.1,2.16,2.3,18,105
Sauvignon,14.12,1.48,2.32,16.8,95
Sauvignon,13.75,1.73,2.41,16,89
Sauvignon,14.75,1.73,2.39,11.4,91
Sauvignon,14.38,1.87,2.38,12,102
Sauvignon,13.63,1.81,2.7,17.2,112
Sauvignon,14.3,1.92,2.72,20,120
Sauvignon,13.83,1.57,2.62,20,115
Sauvignon,14.19,1.59,2.48,16.5,108
Sauvignon,13.64,3.1,2.56,15.2,116
Sauvignon,14.06,1.63,2.28,16,126
Sauvignon,12.93,3.8,2.65,18.6,102
Sauvignon,13.71,1.86,2.36,16.6,101
Sauvignon,12.85,1.6,2.52,17.8,95
Sauvignon,13.5,1.81,2.61,20,96
Sauvignon,13.05,2.05,3.22,25,124
Sauvignon,13.39,1.77,2.62,16.1,93
Sauvignon,13.3,1.72,2.14,17,94
Sauvignon,13.87,1.9,2.8,19.4,107
Sauvignon,14.02,1.68,2.21,16,96
Sauvignon,13.73,1.5,2.7,22.5,101
Sauvignon,13.58,1.66,2.36,19.1,106
Sauvignon,13.68,1.83,2.36,17.2,104
Sauvignon,13.76,1.53,2.7,19.5,132
Sauvignon,13.51,1.8,2.65,19,110
Sauvignon,13.48,1.81,2.41,20.5,100
Sauvignon,13.28,1.64,2.84,15.5,110
Sauvignon,13.05,1.65,2.55,18,98
Sauvignon,13.07,1.5,2.1,15.5,98
Sauvignon,14.22,3.99,2.51,13.2,128
Sauvignon,13.56,1.71,2.31,16.2,117
Sauvignon,13.41,3.84,2.12,18.8,90
Sauvignon,13.88,1.89,2.59,15,101
Sauvignon,13.24,3.98,2.29,17.5,103
Sauvignon,13.05,1.77,2.1,17,107
Sauvignon,14.21,4.04,2.44,18.9,111
Sauvignon,14.38,3.59,2.28,16,102
Sauvignon,13.9,1.68,2.12,16,101
Sauvignon,14.1,2.02,2.4,18.8,103
Sauvignon,13.94,1.73,2.27,17.4,108
Sauvignon,13.05,1.73,2.04,12.4,92
Sauvignon,13.83,1.65,2.6,17.2,94
Sauvignon,13.82,1.75,2.42,14,111
Sauvignon,13.77,1.9,2.68,17.1,115
Sauvignon,13.74,1.67,2.25,16.4,118
Sauvignon,13.56,1.73,2.46,20.5,116
Sauvignon,14.22,1.7,2.3,16.3,118
Sauvignon,13.29,1.97,2.68,16.8,102
Sauvignon,13.72,1.43,2.5,16.7,108
Syrah,12.37,0.94,1.36,10.6,88
Syrah,12.33,1.1,2.28,16,101
Syrah,12.64,1.36,2.02,16.8,100
Syrah,13.67,1.25,1.92,18,94
Syrah,12.37,1.13,2.16,19,87
Syrah,12.17,1.45,2.53,19,104
Syrah,12.37,1.21,2.56,18.1,98
Syrah,13.11,1.01,1.7,15,78
Syrah,12.37,1.17,1.92,19.6,78
Syrah,13.34,0.94,2.36,17,110
Syrah,12.21,1.19,1.75,16.8,151
Syrah,12.29,1.61,2.21,20.4,103
Syrah,13.86,1.51,2.67,25,86
Syrah,13.49,1.66,2.24,24,87
Syrah,12.99,1.67,2.6,30,139
Syrah,11.96,1.09,2.3,21,101
Syrah,11.66,1.88,1.92,16,97
